2016-09-15 21:14:37 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:14:37 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 21:18:31 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 21:18:31 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:18:31 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:18:31 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 21:20:07 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 21:20:07 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:20:07 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:20:07 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 21:21:54 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 21:21:54 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:21:54 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:21:54 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 21:23:28 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 21:23:28 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:23:28 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:23:28 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 21:24:38 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 21:24:38 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:24:38 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:24:38 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 21:26:14 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 21:26:14 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:26:14 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-15 21:26:14 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-09-15 21:27:30 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-15 21:27:30 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
